offset_seconds,frequency_hz
0.500000,60.015024
1.500000,60.015024
2.500000,60.008196
3.500000,60.007902
4.500000,60.007902
5.500000,60.007902
6.500000,60.006497
7.500000,59.988585
8.500000,59.992233
9.500000,59.988585
10.500000,59.986828
11.500000,59.966408
12.500000,59.918559
13.500000,59.918559
14.500000,59.936511
15.500000,59.987434
16.500000,60.013326
17.500000,60.013326
18.500000,60.082641
19.500000,60.082641
20.500000,60.091655
21.500000,60.122172
22.500000,60.122172
23.500000,59.922423
24.500000,59.922423
25.500000,59.939699
26.500000,59.939699
27.500000,60.098089
28.500000,60.098089
29.500000,60.098089
30.500000,60.036861
31.500000,60.036861
32.500000,59.990017
33.500000,59.990017
34.500000,59.753348
35.500000,59.753348
36.500000,59.929681
37.500000,59.993801
38.500000,59.993801
39.500000,59.993801
40.500000,59.975804
41.500000,59.975804
42.500000,59.989838
43.500000,60.019993
44.500000,60.019993
45.500000,59.934444
46.500000,59.934444
47.500000,59.984167
48.500000,59.984167
49.500000,59.960830
50.500000,59.833758
51.500000,59.960830
52.500000,59.889177
53.500000,60.048318
54.500000,60.028394
55.500000,60.028394
56.500000,59.990130
57.500000,59.990130
58.500000,60.008900
59.500000,60.008900
60.500000,59.967764
61.500000,59.967764
62.500000,59.967764
63.500000,60.021872
64.500000,59.994143
65.500000,60.021872
66.500000,59.994155
67.500000,59.994155
68.500000,59.824144
69.500000,59.824144
70.500000,59.918894
71.500000,60.023516
72.500000,60.026050
73.500000,60.026050
74.500000,60.038332
75.500000,59.990746
76.500000,59.992069
77.500000,59.992069
78.500000,59.992069
79.500000,59.983286
80.500000,59.983286
81.500000,60.045588
82.500000,60.045588
83.500000,60.045588
84.500000,60.073379
85.500000,60.073379
86.500000,60.019394
87.500000,59.946107
88.500000,59.946107
89.500000,59.991223
90.500000,59.991223
91.500000,59.955129
92.500000,59.955129
93.500000,59.960015
94.500000,59.960015
95.500000,59.960015
96.500000,59.966247
97.500000,59.966247
98.500000,59.966247
99.500000,59.948742
100.500000,60.048983
101.500000,60.048983
102.500000,60.054747
103.500000,60.054747
104.500000,60.054747
105.500000,60.155102
106.500000,60.155102
107.500000,59.854047
108.500000,59.854047
109.500000,59.938429
110.500000,60.003917
111.500000,60.007263
112.500000,60.010944
113.500000,60.010944
114.500000,60.015358
115.500000,60.019832
116.500000,60.015358
117.500000,60.018877
118.500000,60.011155
119.500000,60.018877
120.500000,60.026966
121.500000,60.026966
122.500000,60.008289
123.500000,60.008289
124.500000,60.013269
125.500000,60.017059
126.500000,60.027598
127.500000,60.022600
128.500000,60.022600
129.500000,60.016965
130.500000,60.016965
131.500000,60.020510
132.500000,60.023060
133.500000,60.030280
134.500000,60.030280
135.500000,60.025668
136.500000,60.025012
137.500000,60.025012
138.500000,60.032468
139.500000,60.032468
140.500000,59.973239
141.500000,59.906425
142.500000,59.973239
143.500000,60.016222
144.500000,60.025792
145.500000,60.031680
146.500000,60.031680
147.500000,60.031680
148.500000,60.031129
149.500000,60.034224
150.500000,60.024837
151.500000,60.035013
152.500000,60.024837
153.500000,60.035013
154.500000,59.990912
155.500000,60.068291
156.500000,59.917363
157.500000,59.917363
158.500000,59.917363
159.500000,60.009152
160.500000,60.029091
161.500000,60.029091
162.500000,60.026506
163.500000,60.026506
164.500000,60.026506
165.500000,60.030219
166.500000,60.030813
167.500000,60.030813
168.500000,60.013577
169.500000,60.013577
170.500000,60.020488
171.500000,60.020488
172.500000,60.020488
173.500000,60.025791
174.500000,60.025791
175.500000,60.020731
176.500000,60.020731
177.500000,60.020641
178.500000,60.021812
179.500000,60.023174
180.500000,60.023174
181.500000,60.021444
182.500000,60.021393
183.500000,60.018483
184.500000,60.021393
185.500000,60.019216
186.500000,60.019216
187.500000,59.957615
188.500000,59.957615
189.500000,60.011782
190.500000,60.011782
191.500000,60.011782
192.500000,59.970238
193.500000,59.987121
194.500000,59.987121
195.500000,59.987121
196.500000,59.988189
197.500000,59.988189
198.500000,60.027436
199.500000,60.027436
200.500000,60.027436
201.500000,60.043140
202.500000,60.043140
203.500000,60.046003
204.500000,60.008714
205.500000,60.105468
206.500000,60.131559
207.500000,60.131559
208.500000,60.166671
209.500000,59.898279
210.500000,60.018242
211.500000,60.018242
212.500000,60.018242
213.500000,59.990722
214.500000,59.990722
215.500000,60.011154
216.500000,60.011154
217.500000,60.011154
218.500000,59.996826
219.500000,60.026933
220.500000,59.957779
221.500000,60.099360
222.500000,60.079156
223.500000,60.099360
224.500000,60.079156
225.500000,59.999245
226.500000,59.999245
227.500000,60.029588
228.500000,60.041427
229.500000,60.041427
230.500000,60.046099
231.500000,60.002128
232.500000,60.002128
233.500000,60.002128
234.500000,60.006801
235.500000,60.006801
236.500000,59.987316
237.500000,59.987316
238.500000,59.944924
239.500000,59.926010
240.500000,59.926010
241.500000,60.024458
242.500000,60.024458
