offset_seconds,frequency_hz
0.500000,59.906951
1.500000,59.998356
2.500000,59.994108
3.500000,59.927593
4.500000,59.969704
5.500000,59.794564
6.500000,60.001449
7.500000,60.001449
8.500000,59.993809
9.500000,59.796339
10.500000,59.800260
11.500000,59.384211
12.500000,59.835295
13.500000,59.917201
14.500000,59.935295
15.500000,59.920312
16.500000,59.902147
17.500000,59.888318
18.500000,59.984216
19.500000,59.871408
20.500000,59.831466
21.500000,59.829322
22.500000,60.093892
23.500000,60.103149
24.500000,60.047466
25.500000,59.970843
26.500000,60.014260
27.500000,60.054536
28.500000,60.068364
29.500000,60.046474
30.500000,60.060252
31.500000,59.869100
32.500000,59.805347
33.500000,59.795663
34.500000,59.781495
35.500000,59.821258
36.500000,59.951111
37.500000,59.937663
38.500000,59.732171
39.500000,59.720672
40.500000,59.921925
41.500000,59.931428
42.500000,59.931428
43.500000,60.054678
44.500000,59.970621
45.500000,59.912031
46.500000,59.802133
47.500000,59.784249
48.500000,59.789099
49.500000,59.918275
50.500000,59.931622
51.500000,59.909909
52.500000,59.822604
53.500000,59.671554
54.500000,59.831467
55.500000,59.840337
56.500000,60.018656
57.500000,60.001250
58.500000,60.000927
59.500000,60.013252
60.500000,60.013741
61.500000,59.953498
62.500000,59.949068
63.500000,59.900050
64.500000,59.893145
65.500000,59.893755
66.500000,59.910887
67.500000,59.907798
68.500000,59.862384
69.500000,59.899557
70.500000,59.856838
71.500000,59.843888
72.500000,59.843888
73.500000,59.887740
74.500000,59.920341
75.500000,59.916761
76.500000,59.904341
77.500000,59.910974
78.500000,59.913731
79.500000,59.911332
80.500000,59.897675
81.500000,59.895227
82.500000,59.888149
83.500000,59.888149
84.500000,59.894583
85.500000,59.891964
86.500000,59.890286
87.500000,59.862451
88.500000,59.929276
89.500000,59.908353
90.500000,59.912655
91.500000,59.883680
92.500000,59.875035
93.500000,59.910272
94.500000,59.913788
95.500000,59.875504
96.500000,59.860764
97.500000,59.860764
98.500000,59.875963
99.500000,59.916372
100.500000,59.902174
101.500000,59.910735
102.500000,59.915803
103.500000,59.924364
104.500000,59.920949
105.500000,59.921647
106.500000,59.918842
107.500000,59.919466
108.500000,59.923273
109.500000,59.908170
110.500000,59.895963
111.500000,59.896602
112.500000,59.923778
113.500000,59.928130
114.500000,59.918380
115.500000,59.889836
116.500000,59.892041
117.500000,59.898776
118.500000,59.909042
119.500000,59.919448
120.500000,59.943967
121.500000,59.954513
122.500000,59.962660
123.500000,59.966056
124.500000,59.965266
125.500000,59.920023
126.500000,59.888293
127.500000,59.911743
128.500000,59.911743
129.500000,59.908273
130.500000,59.888935
131.500000,59.903527
132.500000,59.903527
133.500000,59.905395
134.500000,59.912738
135.500000,59.902733
136.500000,59.897754
137.500000,59.897754
138.500000,59.884246
139.500000,59.898836
140.500000,59.911540
141.500000,59.923351
142.500000,59.963190
143.500000,59.900936
144.500000,59.900936
145.500000,59.916367
146.500000,59.916367
147.500000,59.914885
148.500000,59.924241
149.500000,59.947609
150.500000,59.935211
151.500000,59.924614
152.500000,59.923666
153.500000,59.926300
154.500000,59.925844
155.500000,59.961080
156.500000,59.914507
157.500000,59.957000
158.500000,59.986529
159.500000,60.007968
160.500000,59.951123
161.500000,59.931451
162.500000,59.947166
163.500000,59.988207
164.500000,59.988394
165.500000,59.923280
166.500000,59.916852
167.500000,59.906113
168.500000,59.906064
169.500000,59.890855
170.500000,59.933839
171.500000,59.964326
172.500000,59.968388
173.500000,59.954649
174.500000,59.923351
175.500000,59.914360
176.500000,59.888032
177.500000,59.891658
178.500000,59.928218
179.500000,59.961615
180.500000,59.943897
181.500000,59.940751
182.500000,59.932298
183.500000,59.919859
184.500000,59.907612
185.500000,59.896874
186.500000,59.914799
187.500000,59.898248
188.500000,59.899307
189.500000,59.895488
190.500000,59.915849
191.500000,59.949065
192.500000,59.978193
193.500000,59.978193
194.500000,59.965625
195.500000,59.961047
196.500000,59.904376
197.500000,59.906496
198.500000,59.896338
199.500000,59.916521
200.500000,59.958734
201.500000,59.923815
202.500000,59.941849
203.500000,59.949749
204.500000,59.957015
205.500000,59.943459
206.500000,59.940545
207.500000,59.912100
208.500000,59.908477
209.500000,59.885232
210.500000,59.927575
211.500000,59.938110
212.500000,59.979264
213.500000,59.986474
214.500000,59.961849
215.500000,59.906156
216.500000,59.869127
217.500000,59.880135
218.500000,59.961133
219.500000,59.948526
220.500000,59.955955
221.500000,59.954197
222.500000,60.008086
223.500000,60.004953
224.500000,60.004953
225.500000,59.995784
226.500000,60.005362
227.500000,59.987682
228.500000,59.982222
229.500000,59.996524
230.500000,60.019232
231.500000,60.049035
232.500000,60.035958
233.500000,60.009574
234.500000,59.995224
235.500000,59.984183
236.500000,59.957882
237.500000,59.948603
