offset_seconds,frequency_hz
0.500000,59.942216
1.500000,59.987919
2.500000,59.975983
3.500000,59.888914
4.500000,59.935537
5.500000,59.831355
6.500000,59.997371
7.500000,59.997371
8.500000,59.985912
9.500000,59.864578
10.500000,59.874816
11.500000,59.656011
12.500000,59.914870
13.500000,59.946575
14.500000,59.955622
15.500000,59.930759
16.500000,59.906812
17.500000,59.913914
18.500000,59.992687
19.500000,59.936283
20.500000,59.901202
21.500000,59.897985
22.500000,60.033915
23.500000,60.047802
24.500000,60.039752
25.500000,59.991187
26.500000,60.006547
27.500000,59.991713
28.500000,60.005540
29.500000,60.011587
30.500000,60.043464
31.500000,59.943302
32.500000,59.903181
33.500000,59.888317
34.500000,59.895567
35.500000,59.913912
36.500000,59.964033
37.500000,59.948378
38.500000,59.851728
39.500000,59.834479
40.500000,59.942563
41.500000,59.949344
42.500000,59.949344
43.500000,60.018816
44.500000,59.991167
45.500000,59.962349
46.500000,59.882644
47.500000,59.870721
48.500000,59.868120
49.500000,59.949355
50.500000,59.951846
51.500000,59.940990
52.500000,59.891315
53.500000,59.815681
54.500000,59.904611
55.500000,59.896488
56.500000,60.008204
57.500000,59.990799
58.500000,59.990314
59.500000,60.001263
60.500000,59.995067
61.500000,59.969720
62.500000,59.965200
63.500000,59.916273
64.500000,59.921713
65.500000,59.922628
66.500000,59.937925
67.500000,59.933292
68.500000,59.910585
69.500000,59.947758
70.500000,59.897858
71.500000,59.881768
72.500000,59.881768
73.500000,59.923137
74.500000,59.959655
75.500000,59.954060
76.500000,59.946114
77.500000,59.949430
78.500000,59.957162
79.500000,59.956454
80.500000,59.942798
81.500000,59.939126
82.500000,59.930188
83.500000,59.930188
84.500000,59.941002
85.500000,59.946064
86.500000,59.943547
87.500000,59.929629
88.500000,59.962311
89.500000,59.951850
90.500000,59.946414
91.500000,59.927900
92.500000,59.922837
93.500000,59.958074
94.500000,59.959849
95.500000,59.921565
96.500000,59.914827
97.500000,59.914827
98.500000,59.935526
99.500000,59.956122
100.500000,59.945486
101.500000,59.952149
102.500000,59.959115
103.500000,59.965777
104.500000,59.962491
105.500000,59.963464
106.500000,59.960347
107.500000,59.961283
108.500000,59.957312
109.500000,59.943512
110.500000,59.931384
111.500000,59.938424
112.500000,59.965601
113.500000,59.967776
114.500000,59.957038
115.500000,59.929110
116.500000,59.932417
117.500000,59.939152
118.500000,59.955171
119.500000,59.965577
120.500000,59.981375
121.500000,59.993083
122.500000,60.002152
123.500000,60.006851
124.500000,60.006061
125.500000,59.972255
126.500000,59.942554
127.500000,59.952018
128.500000,59.952018
129.500000,59.948679
130.500000,59.934752
131.500000,59.949401
132.500000,59.949401
133.500000,59.947089
134.500000,59.958102
135.500000,59.945163
136.500000,59.944127
137.500000,59.944127
138.500000,59.926379
139.500000,59.940970
140.500000,59.941699
141.500000,59.947605
142.500000,59.986364
143.500000,59.947411
144.500000,59.947411
145.500000,59.953138
146.500000,59.953138
147.500000,59.960825
148.500000,59.970887
149.500000,59.987910
150.500000,59.972842
151.500000,59.969268
152.500000,59.967846
153.500000,59.959847
154.500000,59.959164
155.500000,59.983403
156.500000,59.954822
157.500000,59.966826
158.500000,59.970872
159.500000,59.992310
160.500000,59.974372
161.500000,59.973224
162.500000,59.967951
163.500000,59.988471
164.500000,59.989850
165.500000,59.957294
166.500000,59.956878
167.500000,59.949031
168.500000,59.951706
169.500000,59.943432
170.500000,59.971609
171.500000,60.004127
172.500000,60.006158
173.500000,59.989611
174.500000,59.968674
175.500000,59.959683
176.500000,59.928589
177.500000,59.934028
178.500000,59.970589
179.500000,59.988862
180.500000,59.972717
181.500000,59.967998
182.500000,59.966652
183.500000,59.950762
184.500000,59.951539
185.500000,59.952225
186.500000,59.961187
187.500000,59.941695
188.500000,59.938838
189.500000,59.940941
190.500000,59.953711
191.500000,59.982081
192.500000,60.008326
193.500000,60.008326
194.500000,59.990917
195.500000,59.986950
196.500000,59.957392
197.500000,59.962635
198.500000,59.944194
199.500000,59.961473
200.500000,59.982580
201.500000,59.968767
202.500000,59.979768
203.500000,59.987668
204.500000,59.998567
205.500000,59.982188
206.500000,59.978759
207.500000,59.945789
208.500000,59.954579
209.500000,59.930882
210.500000,59.950213
211.500000,59.963751
212.500000,60.004906
213.500000,59.996282
214.500000,59.949459
215.500000,59.898360
216.500000,59.893701
217.500000,59.910213
218.500000,60.002403
219.500000,59.989796
220.500000,59.983773
221.500000,59.968405
222.500000,60.019622
223.500000,59.998222
224.500000,59.998222
225.500000,59.994426
226.500000,60.008793
227.500000,59.999952
228.500000,59.985713
229.500000,60.007557
230.500000,60.025829
231.500000,60.047275
232.500000,60.034205
233.500000,60.017949
234.500000,60.010217
235.500000,59.993068
236.500000,59.973027
237.500000,59.968388
238.500000,59.948264
239.500000,59.958305
240.500000,59.967217
241.500000,59.968857
242.500000,60.006777
243.500000,59.997063
244.500000,60.012915
245.500000,60.012127
246.500000,59.983670
247.500000,60.014135
248.500000,60.023796
249.500000,60.058127
250.500000,60.058127
251.500000,60.017493
252.500000,60.014378
253.500000,59.937297
254.500000,59.871655
255.500000,59.889204
256.500000,59.974787
257.500000,59.983901
258.500000,59.947658
259.500000,59.936843
260.500000,59.953110
261.500000,59.953497
262.500000,59.950667
263.500000,59.947304
264.500000,59.976200
265.500000,59.962055
266.500000,59.980950
267.500000,59.977508
268.500000,59.980552
269.500000,59.973421
270.500000,59.982678
271.500000,59.977547
272.500000,59.968648
273.500000,59.966015
274.500000,59.992275
275.500000,59.994198
276.500000,60.008818
277.500000,59.974980
278.500000,59.961584
279.500000,59.961584
280.500000,59.985683
281.500000,59.985920
282.500000,59.980744
283.500000,59.945259
284.500000,59.934661
285.500000,59.929815
286.500000,59.923657
287.500000,59.927037
288.500000,59.948981
289.500000,59.956441
290.500000,59.959931
291.500000,59.967619
292.500000,59.950314
293.500000,59.942108
294.500000,59.948461
295.500000,59.921023
296.500000,59.957088
297.500000,59.912952
298.500000,59.965556
299.500000,59.923784
300.500000,59.937623
301.500000,59.937801
302.500000,59.952955
303.500000,59.968193
304.500000,59.974779
305.500000,59.943950
306.500000,59.935811
307.500000,59.906715
308.500000,59.895514
309.500000,59.916369
310.500000,59.984064
311.500000,59.984064
312.500000,59.963989
313.500000,59.939333
314.500000,59.944088
315.500000,59.872547
