offset_seconds,frequency_hz
0.500000,59.912132
1.500000,60.011697
2.500000,59.963529
3.500000,59.963529
4.500000,59.963529
5.500000,60.164887
6.500000,60.169549
7.500000,60.164887
8.500000,60.060366
9.500000,60.055734
10.500000,59.837933
11.500000,59.837933
12.500000,59.989381
13.500000,60.005900
14.500000,60.007478
15.500000,60.007478
16.500000,59.992778
17.500000,59.992778
18.500000,59.993282
19.500000,59.993282
20.500000,59.992677
21.500000,59.992677
22.500000,59.996858
23.500000,59.996858
24.500000,59.996858
25.500000,59.998920
26.500000,59.998920
27.500000,59.995347
28.500000,59.990648
29.500000,59.991565
30.500000,59.991565
31.500000,59.993052
32.500000,60.002189
33.500000,59.997726
34.500000,59.997726
35.500000,59.997726
36.500000,59.998898
37.500000,59.999544
38.500000,59.998898
39.500000,59.999544
40.500000,59.990173
