offset_seconds,frequency_hz
0.500000,59.809641
1.500000,60.027386
2.500000,60.027386
3.500000,60.027386
4.500000,59.955081
5.500000,59.939236
6.500000,59.955081
7.500000,59.956959
8.500000,59.956959
9.500000,59.956959
10.500000,59.961462
11.500000,59.961462
12.500000,59.961462
13.500000,59.959877
14.500000,59.959877
15.500000,59.959877
16.500000,59.954715
17.500000,59.954715
18.500000,59.954715
19.500000,59.952653
20.500000,59.966785
21.500000,59.952653
22.500000,59.963282
23.500000,59.952278
24.500000,59.959470
25.500000,59.950914
26.500000,59.959470
27.500000,59.946896
28.500000,59.960414
29.500000,59.958122
30.500000,59.958909
31.500000,59.958122
32.500000,59.956728
33.500000,59.956728
34.500000,59.955221
35.500000,59.963014
36.500000,59.962281
37.500000,59.962281
38.500000,59.962281
39.500000,59.953264
40.500000,59.963778
41.500000,59.964640
42.500000,59.964640
43.500000,59.958623
44.500000,59.958623
45.500000,59.961160
46.500000,59.965024
47.500000,59.965024
48.500000,59.965545
49.500000,59.962118
50.500000,59.962118
51.500000,59.962118
52.500000,59.969170
53.500000,59.969170
54.500000,59.963700
55.500000,59.963700
56.500000,59.958833
57.500000,59.963889
58.500000,59.963889
59.500000,59.968891
60.500000,59.968891
61.500000,59.971575
62.500000,59.963150
63.500000,59.960727
64.500000,59.960727
65.500000,59.962582
66.500000,59.962582
67.500000,59.965907
68.500000,59.959233
69.500000,59.959233
70.500000,59.959233
71.500000,59.963407
72.500000,59.963407
73.500000,59.962354
74.500000,59.962354
75.500000,59.961781
76.500000,59.966095
77.500000,59.967837
78.500000,59.969610
79.500000,59.969610
80.500000,59.967358
81.500000,59.967358
82.500000,59.967358
83.500000,59.965115
84.500000,59.965115
85.500000,59.965115
86.500000,59.957616
87.500000,59.954434
88.500000,59.957616
89.500000,59.954434
90.500000,59.953459
91.500000,59.953459
92.500000,59.953019
93.500000,59.965581
94.500000,59.955294
95.500000,59.965581
96.500000,59.963933
97.500000,59.963933
98.500000,59.963933
99.500000,59.976137
100.500000,59.976137
101.500000,59.961677
102.500000,59.961677
103.500000,59.961677
104.500000,59.963839
105.500000,59.961280
106.500000,59.961280
107.500000,59.961280
108.500000,59.959406
109.500000,59.963989
110.500000,59.955857
111.500000,59.963989
112.500000,59.955857
113.500000,59.956490
114.500000,59.956490
115.500000,59.959234
116.500000,59.959234
117.500000,59.953733
118.500000,59.953733
119.500000,59.959333
120.500000,59.959333
121.500000,59.957737
122.500000,59.955097
123.500000,59.952936
124.500000,59.955097
125.500000,59.951633
126.500000,59.962731
127.500000,59.950620
128.500000,59.959010
129.500000,59.950620
130.500000,59.959010
131.500000,59.950560
132.500000,59.958329
133.500000,59.947197
134.500000,59.958329
135.500000,59.956219
136.500000,59.956505
137.500000,59.956219
138.500000,59.956505
139.500000,59.959891
140.500000,59.959891
141.500000,59.959891
142.500000,59.955716
143.500000,59.960507
144.500000,59.955716
145.500000,59.953412
146.500000,59.946502
147.500000,59.948971
148.500000,59.948971
149.500000,59.951463
150.500000,59.957821
151.500000,59.951463
152.500000,59.957821
153.500000,59.948485
154.500000,59.951584
155.500000,59.951584
156.500000,59.956636
157.500000,59.958907
158.500000,59.958610
159.500000,59.958610
160.500000,59.958610
161.500000,59.959489
162.500000,59.959489
163.500000,59.961409
164.500000,59.961409
165.500000,59.961409
166.500000,59.965515
167.500000,59.962715
168.500000,59.962715
169.500000,59.958969
170.500000,59.958969
171.500000,59.957035
172.500000,59.957558
173.500000,59.957558
174.500000,59.959176
175.500000,59.962464
176.500000,59.959176
177.500000,59.966035
178.500000,59.956320
179.500000,59.966035
180.500000,59.961312
181.500000,59.961312
182.500000,59.956749
183.500000,59.956749
184.500000,59.960832
185.500000,59.965468
186.500000,59.962308
187.500000,59.962308
188.500000,59.962308
189.500000,59.955202
190.500000,59.957585
191.500000,59.957585
192.500000,59.960800
193.500000,59.960800
194.500000,59.957317
195.500000,59.953807
196.500000,59.957317
197.500000,59.956845
198.500000,59.956845
199.500000,59.956845
200.500000,59.954967
201.500000,59.954967
202.500000,59.954967
203.500000,59.952507
204.500000,59.956525
205.500000,59.956525
206.500000,59.956525
207.500000,59.957895
208.500000,59.957895
209.500000,59.961055
210.500000,59.961055
211.500000,59.963357
212.500000,59.961015
213.500000,59.966855
214.500000,59.967990
215.500000,59.967990
216.500000,59.967990
217.500000,59.971721
218.500000,59.971721
219.500000,59.977749
220.500000,59.977749
221.500000,59.977749
222.500000,59.977563
223.500000,59.977563
224.500000,59.980330
225.500000,59.980330
226.500000,59.981961
227.500000,59.983804
228.500000,59.984056
229.500000,59.984056
230.500000,59.984056
231.500000,59.984761
232.500000,59.994836
233.500000,59.984761
234.500000,59.989315
235.500000,59.989315
236.500000,59.990524
237.500000,59.991671
238.500000,59.992423
239.500000,59.994844
240.500000,59.992423
241.500000,59.994462
242.500000,59.994462
243.500000,59.994651
244.500000,59.997089
245.500000,59.997089
246.500000,59.998280
247.500000,59.999144
248.500000,60.001974
249.500000,60.001974
250.500000,60.001974
251.500000,60.003492
252.500000,60.006978
253.500000,60.006978
254.500000,60.007261
255.500000,60.006320
256.500000,60.005505
257.500000,60.004398
258.500000,60.005505
259.500000,60.004398
260.500000,60.005336
261.500000,60.001439
262.500000,60.005336
263.500000,60.005517
264.500000,60.005517
265.500000,59.999063
266.500000,59.998959
267.500000,59.995750
268.500000,59.995750
269.500000,59.995750
270.500000,59.985122
271.500000,59.986464
272.500000,59.986464
273.500000,59.991365
274.500000,59.991365
275.500000,59.989246
276.500000,59.974650
