offset_seconds,frequency_hz
0.500000,59.786588
1.500000,59.941145
2.500000,59.872226
3.500000,59.936379
4.500000,59.936379
5.500000,59.936379
6.500000,60.074680
7.500000,60.159455
8.500000,60.159455
9.500000,59.991026
10.500000,59.781393
11.500000,59.781393
12.500000,59.869998
13.500000,59.927641
14.500000,60.047988
15.500000,59.927641
16.500000,59.807732
17.500000,59.807732
18.500000,59.798319
19.500000,59.952525
20.500000,59.815818
21.500000,59.954658
22.500000,59.995785
23.500000,60.134872
24.500000,60.108275
25.500000,60.108275
26.500000,59.938423
27.500000,59.938423
28.500000,59.938423
29.500000,60.045802
30.500000,60.045802
31.500000,60.045802
32.500000,60.030862
33.500000,60.006449
34.500000,60.006449
35.500000,59.944887
36.500000,59.944887
37.500000,59.944887
38.500000,59.974623
39.500000,59.945431
40.500000,59.974623
41.500000,59.945431
42.500000,59.929395
43.500000,59.929395
44.500000,60.032311
45.500000,60.118818
46.500000,60.244664
47.500000,60.233227
48.500000,60.233227
49.500000,60.057412
50.500000,60.057412
51.500000,59.825982
52.500000,60.075904
53.500000,60.075904
54.500000,60.075904
55.500000,60.064764
56.500000,59.944184
57.500000,59.944184
58.500000,59.938066
59.500000,59.956770
60.500000,59.938066
61.500000,59.956770
62.500000,60.041131
63.500000,60.158378
64.500000,60.041131
65.500000,59.876102
66.500000,59.824235
67.500000,59.824235
68.500000,59.824235
69.500000,59.755887
70.500000,59.779776
71.500000,59.779776
72.500000,59.928182
73.500000,59.954000
74.500000,59.954000
75.500000,59.808451
76.500000,59.808451
77.500000,60.104098
78.500000,60.104098
79.500000,60.107429
80.500000,59.900536
81.500000,59.900536
82.500000,59.857351
83.500000,59.857351
84.500000,59.857351
85.500000,59.911302
86.500000,59.761881
87.500000,59.823672
88.500000,59.823672
89.500000,59.849573
90.500000,59.849573
91.500000,59.834123
92.500000,59.834123
93.500000,59.926047
94.500000,59.926047
95.500000,59.897143
96.500000,59.897143
97.500000,59.900498
98.500000,59.900498
99.500000,59.909953
100.500000,59.909953
101.500000,59.956790
102.500000,60.021710
103.500000,60.021710
104.500000,60.021710
105.500000,60.017578
106.500000,59.992999
107.500000,59.930953
108.500000,59.930953
109.500000,59.963837
110.500000,60.012280
111.500000,59.963837
112.500000,60.012280
113.500000,60.055412
114.500000,60.068350
115.500000,60.068350
116.500000,60.086731
117.500000,60.086731
118.500000,60.052695
119.500000,60.004598
120.500000,60.052695
121.500000,60.004598
122.500000,60.072794
123.500000,59.960234
124.500000,59.960234
125.500000,59.903639
126.500000,59.896640
127.500000,59.903639
128.500000,59.981466
129.500000,59.981466
130.500000,59.942599
131.500000,59.942599
132.500000,60.005606
133.500000,60.005606
134.500000,59.853476
135.500000,59.853476
136.500000,60.121565
137.500000,60.121565
138.500000,60.090304
139.500000,60.069118
140.500000,59.896978
141.500000,59.896978
142.500000,59.923712
143.500000,59.923712
144.500000,59.923712
145.500000,60.045035
146.500000,60.045035
147.500000,60.142834
148.500000,60.097391
149.500000,60.097391
150.500000,60.010540
151.500000,59.981262
152.500000,60.010540
153.500000,60.071262
154.500000,60.071262
155.500000,60.069578
156.500000,60.069578
157.500000,60.069578
158.500000,60.057942
159.500000,59.979743
160.500000,59.979743
161.500000,59.913391
162.500000,60.142213
163.500000,59.931500
164.500000,60.110707
165.500000,60.041776
166.500000,60.041776
167.500000,59.966096
168.500000,59.903178
169.500000,59.874343
170.500000,59.846546
171.500000,59.846546
172.500000,59.805722
173.500000,59.805722
174.500000,59.805722
175.500000,59.943567
176.500000,59.968740
177.500000,59.968740
178.500000,59.968740
179.500000,60.034129
180.500000,60.034129
181.500000,60.073799
182.500000,60.017226
183.500000,59.843233
184.500000,59.843233
185.500000,59.902575
186.500000,59.902575
187.500000,59.902575
188.500000,59.960315
189.500000,59.960315
190.500000,60.037883
191.500000,60.037883
192.500000,60.037883
