offset_seconds,frequency_hz
0.500000,60.084988
1.500000,60.084988
2.500000,60.132909
3.500000,60.109566
4.500000,60.132909
5.500000,60.175020
6.500000,60.175020
7.500000,60.070313
8.500000,60.070313
9.500000,60.076718
10.500000,60.158176
11.500000,60.112980
12.500000,60.141266
13.500000,60.112980
14.500000,60.141266
15.500000,60.100175
16.500000,60.073315
17.500000,60.067033
18.500000,59.958563
19.500000,59.958563
20.500000,60.099845
21.500000,60.099845
22.500000,60.019861
23.500000,59.895091
24.500000,59.891289
25.500000,59.891289
26.500000,59.927901
27.500000,59.927901
28.500000,60.195579
29.500000,60.040468
30.500000,60.040468
31.500000,60.012921
32.500000,59.903507
33.500000,59.896788
34.500000,59.896788
35.500000,60.056520
36.500000,60.265485
37.500000,60.265485
38.500000,60.021687
39.500000,59.946706
40.500000,59.875686
41.500000,59.946706
42.500000,60.048161
43.500000,60.119661
44.500000,60.205564
45.500000,60.119661
46.500000,60.011067
47.500000,59.963045
48.500000,59.953698
49.500000,59.963045
50.500000,60.049242
51.500000,60.097352
52.500000,60.097352
53.500000,60.025763
54.500000,59.978477
55.500000,59.978477
56.500000,59.910905
57.500000,59.910905
58.500000,59.954547
59.500000,59.984395
60.500000,59.996233
61.500000,59.996233
62.500000,60.042210
63.500000,60.042210
64.500000,60.042210
65.500000,60.035512
66.500000,60.035512
67.500000,60.123835
68.500000,60.123835
69.500000,60.017333
70.500000,60.017333
71.500000,59.936427
72.500000,59.926966
73.500000,59.926966
74.500000,59.994616
75.500000,59.994616
76.500000,59.926066
77.500000,59.926066
78.500000,60.084115
79.500000,60.084115
80.500000,60.031242
81.500000,60.031242
82.500000,60.059380
83.500000,60.059380
84.500000,59.968034
85.500000,59.967297
86.500000,59.914043
87.500000,59.864071
88.500000,59.864071
89.500000,59.997514
90.500000,59.997514
91.500000,59.997514
92.500000,59.938651
93.500000,59.938651
94.500000,59.938651
95.500000,59.925110
96.500000,59.925110
97.500000,59.925110
98.500000,59.841180
99.500000,59.906262
100.500000,59.906262
101.500000,59.945991
102.500000,60.049938
103.500000,60.046230
104.500000,60.046230
105.500000,60.046230
106.500000,59.909408
107.500000,60.108961
108.500000,60.108961
109.500000,60.167379
110.500000,60.167379
111.500000,59.909958
112.500000,59.909958
113.500000,59.909958
114.500000,59.846894
115.500000,59.806416
116.500000,59.806416
117.500000,59.857621
118.500000,59.941668
119.500000,60.036223
120.500000,60.121565
121.500000,60.058897
122.500000,60.058897
123.500000,60.058897
124.500000,60.077412
125.500000,60.077412
126.500000,60.019425
127.500000,60.019425
128.500000,59.877112
129.500000,59.909229
130.500000,59.877112
131.500000,59.909229
132.500000,59.908856
133.500000,59.908856
134.500000,59.903565
135.500000,59.738392
136.500000,59.903565
137.500000,59.738392
138.500000,59.803284
139.500000,59.803284
140.500000,59.946573
141.500000,59.946573
142.500000,59.918741
143.500000,59.918741
144.500000,59.987178
145.500000,59.987178
146.500000,59.860888
147.500000,59.860888
148.500000,59.892599
149.500000,59.953657
150.500000,59.971128
151.500000,59.971128
152.500000,59.863742
153.500000,59.833379
154.500000,59.833379
155.500000,60.089049
156.500000,60.089181
157.500000,60.089049
158.500000,59.996103
159.500000,59.938864
160.500000,59.996103
161.500000,60.003391
162.500000,60.198393
163.500000,60.198393
164.500000,60.113279
165.500000,60.113279
166.500000,60.113279
167.500000,60.050335
168.500000,59.966353
169.500000,59.912403
170.500000,59.966353
171.500000,60.152443
172.500000,60.152443
173.500000,60.095542
174.500000,60.095542
175.500000,60.098713
176.500000,60.098713
177.500000,60.021577
178.500000,60.021577
179.500000,60.149275
180.500000,60.168958
181.500000,60.168958
182.500000,60.120832
183.500000,60.120832
184.500000,60.120832
185.500000,60.146162
186.500000,60.119402
187.500000,60.198213
188.500000,60.198213
189.500000,60.198213
190.500000,59.995248
191.500000,59.955844
192.500000,59.955844
193.500000,59.955844
194.500000,59.982462
195.500000,59.982462
196.500000,59.995035
197.500000,59.995035
198.500000,59.995035
199.500000,60.057717
200.500000,60.057717
201.500000,60.106851
202.500000,59.903358
203.500000,60.024132
204.500000,59.995096
205.500000,60.022392
206.500000,60.022392
207.500000,60.088276
208.500000,60.131473
209.500000,60.088276
210.500000,59.974006
211.500000,59.922127
